pid,event_id,dt,ts,duration_in_sec,store_id,floor_id,pair_id,pid_dt,store_name,type_by_brand,store_name_eng,pid_count,pid_id,q1,q2,q3,bucket,store_duration
ZHDC_foshan_hyc_20230601_clusterid_22879,7,2023-06-01,1685625756,20.0,zhdc-foshan-hyc-B155-N,B1,19,11554,名创优品IP黑金店,零售,Miniso ,5,2036536,58.0,144.0,372.0,Q1,Miniso _Q1
tmpPID_zhdc_foshan_hyc_cluster_35781,7,2023-08-26,,,zhdc-foshan-hyc-L208-N,L2,9,2829366,vero moda,零售,Vero moda,6,4131520,58.0,144.0,372.0,Q4,Vero moda_Q4
ZHDC_foshan_hyc_20230709_clusterid_6016,7,2023-07-09,1688907302,2159.0,zhdc-foshan-hyc-L522-N,L5,17,825208,太食兽,餐饮,Taishishou,6,2636514,59.0,406.0,2865.0,Q3,Taishishou_Q3
ZHDC_foshan_hyc_20230113_clusterid_16247,7,2023-01-13,1673610073,15.0,zhdc-foshan-hyc-L326-1-N,L3,61,220493,NIKE kids,儿童,NIKE kids,10,157462,68.0,229.0,917.0,Q1,NIKE kids_Q1
ZHDC_foshan_hyc_20230105_clusterid_2415,6,2023-01-05,1672902414,248.0,zhdc-foshan-hyc-B155-N,B1,4,82909,五洲会全球购,零售,Wuzhouhui shopping,4,58214,58.0,144.0,372.0,Q3,Wuzhouhui shopping_Q3
ZHDC_foshan_hyc_20230820_clusterid_35825,7,2023-08-20,1692517677,75.0,zhdc-foshan-hyc-L322-N,L3,56,1799147,little MO&Co.,儿童,Little mo&co.,11,3355305,68.0,229.0,917.0,Q2,Little mo&co._Q2
ZHDC_foshan_hyc_20230503_clusterid_18070,6,2023-05-03,1683097584,599.0,zhdc-foshan-hyc-L327-1-N,L3,16,1187608,星际传奇,儿童,Star legend,9,1656642,68.0,229.0,917.0,Q3,Star legend_Q3
ZHDC_foshan_hyc_20230416_clusterid_27901,6,2023-04-16,1681634922,79.0,zhdc-foshan-hyc-L205-1-N,L2,41,851476,cosyroom,零售,Cosyroom,17,1415457,58.0,144.0,372.0,Q2,Cosyroom_Q2
ZHDC_foshan_hyc_20230405_clusterid_3898,6,2023-04-05,1680687770,992.0,zhdc-foshan-hyc-B110-N,B1,42,652483,沃尔玛,主力店,Walmart,10,1275254,131.0,634.0,1537.0,Q3,Walmart_Q3
ZHDC_foshan_hyc_20230206_clusterid_6389,6,2023-02-06,1675681482,123.0,zhdc-foshan-hyc-B155-N,B1,53,729306,名创优品IP黑金店,零售,Miniso ,13,532866,58.0,144.0,372.0,Q2,Miniso _Q2
